#,ID,Date,Description,Mode,Category,Sub Category,Amount,Balance,FCU Identified
556,556,12-05-2022,UPI/591663948760/NO REMARKS/jsmith@upi/West Michael,vps,other credit,fuel,-4047.35,212177.18,Verified
557,557,12-05-2022,VPS/Wright LLC/650163474571/Tiffanyburgh,atm,expenses,loan,864.35,3646949.59,
558,558,12-05-2022,neft axiscn0092102583 shriram transport finance co,neft,loan disbursed,other,68261,590284.25,
559,559,12-05-2022,ach d-plemioctober21-ytn19crl99zm (ref# 5652576385),ach,loan,personal,-3939,586345.25,
560,560,12-05-2022,1211 overdue loan -66681304 recovered,other,loan,overdue,-531,585814.25,
561,561,13-05-2022,IPS/MASTER FUEL/509061590225/000000000980/Lindaland,atm,expenses,loan,-3836.9,777578.95,Verified
562,562,13-05-2022,UPI/765299854929/NO REMARKS/ronald98@upi/Brianside,imps,other credit,bounce,9862.03,2046260.38,
563,563,13-05-2022,VPS/Bennett-Price/127038275836/Jenniferside,inft,expenses,other,6649.03,2605011.28,Fraud Identified
564,564,13-05-2022,APBS/IOC Ref No997396077/18622268186375,upi,other credit,recharge,4214.88,4434725.7,Fraud Identified
565,565,13-05-2022,UPI/481994740683/NO REMARKS/allison02@upi/South Lauriehaven,imps,reversal credit,loan,-3734.28,4523010.23,Fraud Identified
566,566,13-05-2022,"rdy cr sweep monthly principal payment for ready credit a/c, dr.sa rs. 7289.26",other,loan,overdraft,-7289.26,578524.99,
567,567,13-05-2022,by transfer 1061135222331 ioc ref no5367088199 21bz3sb transfer from 3199986105210,transfer,subsidy,other,16.57,578541.56,
568,568,13-05-2022,upiout/124311684824 /siyamyousuf@okaxis/emi/0000,upi,loan,other,-4300,574241.56,
569,569,13-05-2022,kqsx45eiaj6kpporcy/payuhomecreditindiaf (ref# 213336350913),other,loan,home,-86403,487838.56,
570,570,14-05-2022,"INF/INFT/363328807437/Baldwin, Smith and Bell /Thomas",inft,reversal credit,bounce,1813.91,3184674.36,Verified
571,571,14-05-2022,to transfer gold loan closure transfer to 39554099216,transfer,loan,gold,-26719,461119.56,
572,572,14-05-2022,ach d- grayquest education-grayquest932j (ref# 2032947687),ach,loan,education,-22985,438134.56,
573,573,14-05-2022,cms/000891978077/bajaj_auto_cd__87863643,cms,loan,auto,-1580,436554.56,
574,574,15-05-2022,INF/INFT/532164661345/Ramos and Sons /James,ecs,expenses,recharge,8980.76,1682173.81,Verified
575,575,15-05-2022,INF/INFT/644050353251/Walker-Hurley /Joanne,upi,withdrawal,fuel,-4087.52,3452145.87,
576,576,15-05-2022,neft/n184210649156249/zerodha b/yes bank /yesb000,neft,investment payout,share,500,437054.56,
577,577,15-05-2022,neft:employee provident fund organizatio sbin12125,neft,investment payout,pension,2800,439854.56,
578,578,15-05-2022,neft-citin21281019825-l t mutual fund - dividend ac-l and t tax advantage fund-,neft,investment payout,mutual fund,288.2,440142.76,
579,579,15-05-2022,transfer credit sweep from 40213996715,transfer,investment payout,fd,71000,511142.76,
580,580,16-05-2022,INF/INFT/633748562346/Wade Ltd /Nicholas,atm,reversal credit,other,4382.35,38653.59,Fraud Identified
581,581,16-05-2022,INF/INFT/832829468284/Booth-Bartlett /Theodore,inft,reversal credit,loan,4513.75,4282310.96,
582,582,16-05-2022,"wthdrl,upi/dr/119711150859/angel broking ltd/hdfc/angelnse@hdfcbank",upi,investment payin,share,-10000,501142.76,
583,583,16-05-2022,apy-si-66420-14/10/2021,standing instruction,investment payin,pension,-117,501025.76,
584,584,16-05-2022,upiar/118776751479/dr/nextbill/hdfc/groww.razorpay,upi,investment payin,mutual fund,-100,500925.76,
585,585,16-05-2022,fd through net-50300548672012:suvajit ba nerjee (ref# ib02132416672575),net banking,investment payin,fd,-50000,450925.76,
586,586,17-05-2022,BIL/RCHG/6310904590/Vodafone -/318.941.9733,inft,expenses,bounce,-4282.01,3788329.94,Fraud Identified
587,587,17-05-2022,NFS/MWND07/CASH WDL/14-10-77,inft,other credit,fuel,1993.87,3903500.84,Verified
588,588,17-05-2022,upi/pramod bharat m/109647308418/lic,upi,insurance debit,life,-2600,448325.76,
589,589,17-05-2022,nefto-manipal cigna health insur 000289116817,neft,other debit,other,-28320,420005.76,
590,590,17-05-2022,shivanapura upi/124840873070/bajaj allianz,upi,insurance debit,general,-2143,417862.76,
591,591,18-05-2022,VPS/Sanchez-Crawford/532915964261/Port Jeffport,ecs,other credit,fuel,-4790.08,321121.05,Fraud Identified
592,592,18-05-2022,ATM DEC CHG/14-10-00/GST,imps,other credit,fuel,-3389.19,1104272.33,Fraud Identified
593,593,18-05-2022,APBS/IOC Ref No2628457824/45514431869691,upi,subsidy,bounce,7884.06,1450027.84,
594,594,18-05-2022,VPS/Wagner LLC/659073110803/South Valeriechester,upi,subsidy,bounce,3061.33,3735602.24,Verified
595,595,18-05-2022,upi/abdul shahid mo/115301648260/bike insurance (ref# upi-115397501964),upi,insurance debit,auto,-900,416962.76,
596,596,18-05-2022,upi/amol dhanshing /131858980326/salary ani gadi (ref# upi-131887137103),upi,income,salary,9000,425962.76,
597,597,18-05-2022,neft-109272426959-fieldfresh foods p ltd salary-14,neft,income,salary,106683,532645.76,Discontinuity in credits/ receivables
598,598,19-05-2022,upi/110810674677/rent/bashu789@okaxis/rbl,upi,income,rental,8000,540645.76,
599,599,19-05-2022,neft sbin521285083058 employee provident fund orga,neft,investment payout,pension,50000,590645.76,
600,600,20-05-2022,pension for aug 2021-sys1602,other,investment payout,pension,24838,615483.76,
601,601,20-05-2022,td int:268.00 and tax:0.00.-5213939437 (ref# 5213939437io),other,income,interest,242,615725.76,
602,602,20-05-2022,saving a/c credit interest,other,income,interest,51,615776.76,
603,603,21-05-2022,APBS/IOC Ref No9123004322/3053308228145,imps,reversal credit,recharge,9780.75,663755.87,Verified
604,604,21-05-2022,NFS/ZHND07/CASH WDL/28-07-81,upi,withdrawal,loan,2589.87,714863.66,Verified
605,605,21-05-2022,"VPS/Barnes, Butler and Walters/534811216507/Brandontown",atm,subsidy,loan,-3303.69,1637754.12,Fraud Identified
606,606,21-05-2022,salary incentive (ref# 82974),other,income,incentive,2280,618056.76,
607,607,21-05-2022,jamna auto div20 2100000000000000093786 (ref# 210634091822),other,income,dividend,120,618176.76,
608,608,22-05-2022,cms/icici bank ltd/25th dividend 2021,cms,income,dividend,20,618196.76,
609,609,22-05-2022,pcd/1485/godaddy india domains/mumbai170321/12:06,pcd,expenses,web,-599,617597.76,
610,610,22-05-2022,vps/delhi metro/202106171759/116812294321/bahadurg,vps,expenses,travel,-500,617097.76,
611,611,23-05-2022,NFS/VRND07/CASH WDL/02-10-75,upi,subsidy,other,-574.12,261903.03,Fraud Identified
612,612,23-05-2022,BIL/RCHG/2469359618/Vodafone -/001-799-376-5438x75408,imps,withdrawal,other,1765.96,855353.62,Verified
613,613,23-05-2022,upi/vijay pan shop/121619634322/upi,upi,expenses,shopping,-10,617087.76,
614,614,23-05-2022,pos 512967xxxxxx7681 amazon (ref# 0000t90281856842),pos,expenses,shopping,-733.8,616353.96,
615,615,23-05-2022,upi/prashant dilip /112418808293/house rent for,upi,expenses,rental,-18000,598353.96,
616,616,23-05-2022,upi/paytm recharge /130926610642/oid15893634972@,upi,expenses,recharge,-149,598204.96,
617,617,24-05-2022,IPS/MASTER FUEL/907714776050/000000000980/East Julie,atm,expenses,fuel,8093.51,1632369.7,
618,618,24-05-2022,VPS/Thomas-Williams/492487524137/Zacharyport,ecs,expenses,fuel,4542.61,2864089.24,
619,619,25-05-2022,ATM DEC CHG/18-01-79/GST,vps,reversal credit,fuel,4459.46,926309.18,
620,620,25-05-2022,VPS/Parrish-Martin/553847924773/Matthewshire,vps,reversal credit,other,7380.53,1384152.91,Verified
621,621,26-05-2022,APBS/IOC Ref No5989111857/26417833428426,upi,other credit,other,3546.34,1398681,
622,622,26-05-2022,ATM DEC CHG/19-05-97/GST,ecs,withdrawal,other,3961.38,4678743.86,
623,623,26-05-2022,upiout/127311835006/paytmqr281005050101ry xwn/5499,upi,expenses,other,-22,598182.96,
624,624,26-05-2022,withdrawal transfer upi transfer/133725539903/medicine transfer to 97215016326,upi,other debit,other,-450,597732.96,
625,625,26-05-2022,pci/2699/paypal *alice/4029357733021221/18:23,pci,expenses,international,-4943.36,592789.6,
626,626,26-05-2022,vps/hotel saina/202101011914/100113104526/dehradun,vps,expenses,hotel,-1313,591476.6,
627,627,26-05-2022,vps/om filling /202107012354/118218964033/bahadurg,vps,expenses,fuel,-1500,589976.6,
628,628,26-05-2022,upi/dr/126452094335/prabhat restaurant/pytm/19744201000007/payment from (ref# ybl6720c924ea654 eeb 9475aaa d57d536d3),upi,other debit,other,-825,589151.6,
629,629,27-05-2022,upi/p2m/128179347199/hotstar/axis bank/hotstar,upi,expenses,entertainment,-499,588652.6,
630,630,27-05-2022,inb/850419308/podar education(cca,inb,expenses,education,-14457.98,574194.62,
631,631,27-05-2022,upi/131351444982/from:7044223776@ybl/to:myntra@ybl/ payment for e8dfa7bbccc5406fa45e4960136dab8a (ref# 1387420211109000206141126),upi,expenses,cloth,-2290,571904.62,
632,632,27-05-2022,upiar/131244536685/dr/phone pec/yesb/phonepecardpa y,upi,expenses,cc bill,-26483,545421.62,
633,633,28-05-2022,UPI/730289221057/NO REMARKS/brandon03@upi/West Michael,imps,subsidy,recharge,8516.71,4638929.75,Fraud Identified
634,634,29-05-2022,NFS/SKND07/CASH WDL/25-03-76,upi,reversal credit,other,6422.45,94932.74,Fraud Identified
635,635,29-05-2022,IPS/MASTER FUEL/584535838086/000000000980/Lake Vincentshire,ecs,reversal credit,recharge,-1508.12,1052021.05,Fraud Identified
636,636,29-05-2022,INF/INFT/552421987330/Petersen and Sons /Eric,upi,other credit,other,7803.14,3421042.91,
637,637,29-05-2022,"wthdrl, upi/dr/122920709554/simpl/axb/simpl@axb/si mpl bill payment",upi,expenses,bill,-748,544673.62,
638,638,29-05-2022,upi-pahwa automobiles-gpay-11170811213@o kbizaxis-utib0000000-122392676366-paymen t from phone (ref# 122392676366),upi,expenses,auto,-1050,543623.62,
639,639,29-05-2022,donation contributionhenkw7libii5159310309436,other,donation,other,-351,543272.62,
640,640,30-05-2022,UPI/404418224525/NO REMARKS/nicholasmoreno@upi/Emilymouth,ecs,reversal credit,recharge,-498.35,3695796.62,Fraud Identified
641,641,30-05-2022,"VPS/Watson, Stevens and Brown/664690148342/Davidtown",inft,reversal credit,other,-2095.17,4190118.16,Fraud Identified
642,642,31-05-2022,INF/INFT/842734277212/Gallagher Ltd /Tyler,upi,withdrawal,bounce,9025.39,3028973.73,Verified
643,643,01-06-2022,sak/cash dep/sak244324422/4733/self,sak,deposit,self,4000,547272.62,
644,644,01-06-2022,clg/paridhi tradingco/826478/pnb/01.11.2021,cheque,deposit,other,8000,555272.62,
645,645,01-06-2022,by cash-pune -pashan-sus road,cash,deposit,other,8000,563272.62,
646,646,01-06-2022,rem chrgs:atm cw fee-dom/xx6926/723300000000/11102,atm,charges,withdrawal,-7.5,563265.12,
647,647,01-06-2022,atm usage charges,atm,charges,usage,-70.8,563194.32,
648,648,01-06-2022,can saral min txns allowed,other,charges,txn count exceed,-8.31,563186.01,
649,649,01-06-2022,charges for rtgs customer payment :000202819322,rtgs,charges,transaction,-23.6,563162.41,Suspicious RTGS Transactions
650,650,02-06-2022,NFS/ZOND07/CASH WDL/25-01-86,imps,reversal credit,other,2232.82,763564.11,Fraud Identified
651,651,02-06-2022,APBS/IOC Ref No1439194021/90171231275134,inft,subsidy,bounce,6748.87,3199193.51,Verified
652,652,03-06-2022,INF/INFT/187610906010/Ward PLC /William,inft,reversal credit,bounce,-938.13,649909.07,Fraud Identified
653,653,03-06-2022,surcharge dt:18/03/21 mcc 4112,other,charges,surcharge fuel,-44.57,563117.84,
654,654,03-06-2022,tips/schgs/exh//gulf health counsel(value date: 28-09-2021) (ref# 127117112758),other,charges,surcharge health,-4.77,563113.07,
655,655,03-06-2022,visa petrol surch 23/06/2021,other,charges,surcharge fuel,-2.36,563110.71,
656,656,03-06-2022,debit 00000060405dom surcharge/tips dt150121 893412,other,charges,surcharge dom,-1.32,563109.39,
657,657,03-06-2022,chrg: stop payment on 27-nov-2021 chq no 000068 (ref# tbms-862888237),cheque,charges,stop payment,-118,562991.39,
658,658,04-06-2022,VPS/Davis PLC/380251658124/Port Christopherhaven,upi,other credit,loan,-865.52,319507.08,Verified
659,659,04-06-2022,BIL/RCHG/9093161126/Vodafone -/+1-568-721-2067x636,inft,other credit,loan,4969.15,3259008.96,
660,660,04-06-2022,ATM DEC CHG/13-12-95/GST,vps,subsidy,loan,4958.91,3724661.52,
661,661,05-06-2022,NFS/UAND07/CASH WDL/19-04-76,vps,withdrawal,bounce,-4714.01,3533404.63,Fraud Identified
662,662,05-06-2022,NFS/ZXND07/CASH WDL/11-02-83,atm,subsidy,recharge,-4563.01,4506914.61,Fraud Identified
663,663,05-06-2022,stmt chgs net/mbl incl gst 101121-mir2232953759302 (ifsc mir2232953759302),other,charges,statement,-8.71,562982.68,
664,664,05-06-2022,to transfer/sms chg jan-mar 21,other,charges,sms,-0.8,562981.88,
665,665,05-06-2022,sign verf chrgs-(utib0000000011985208_,other,charges,sign verification,-59,562922.88,
666,666,05-06-2022,settlement charge-oct21-kg1889,other,charges,other,-8.26,562914.62,
667,667,05-06-2022,service charges-jul21-28187044-nt5664,other,expenses,shopping,-116.82,562797.8,
668,668,05-06-2022,rwdfee/3808897/130521+gst,other,charges,reward redemption,-116.82,562680.98,
669,669,05-06-2022,eazypay pos rental oct 21,pos,charges,rental,-306.42,562374.56,
670,670,06-06-2022,INF/INFT/618707241397/Vargas and Sons /Allison,upi,other credit,fuel,8508.57,2203087.22,Fraud Identified
671,671,06-06-2022,IPS/MASTER FUEL/258339014675/000000000980/Thomasfurt,vps,reversal credit,recharge,-4673.86,2785147.13,
672,672,06-06-2022,INF/INFT/252318774113/Hill PLC /Steven,upi,reversal credit,loan,-520.08,3391370.46,
673,673,06-06-2022,UPI/7520843201/NO REMARKS/melissawilson@upi/North Bradyborough,inft,other credit,bounce,-1227.95,4094999.64,
674,674,07-06-2022,VPS/Gallagher-Campbell/447895881966/Peterburgh,ecs,reversal credit,recharge,4414.96,1357040.97,Verified
675,675,07-06-2022,adminchargerenewal pmjjby fy22,other,charges,renewal,-34.75,562339.81,
676,676,07-06-2022,qab charges from 01-04-2021 to 30-06-2021,other,charges,qab,-117,562222.81,
677,677,07-06-2022,atm/debit pin regen chrgs dtd 13/ 151121-mir2233562035258 (ifsc mir2233562035258),atm,charges,pin regeneration,-59,562163.81,
678,678,07-06-2022,od pnl intt,other,charges,penal,-39,562124.81,
679,679,07-06-2022,charges for pord customer payment:ubinj21315697803,other,charges,payment order,-5.9,562118.91,
680,680,07-06-2022,charge:cash wdl other bank atm/inv2910211972578161/31-oct-2021/,atm,charges,other bank withdrawal,-20,562098.91,
681,681,07-06-2022,limit exceed atm charges in other banks (ref# uj75487),atm,charges,other bank transaction,-11.8,562087.11,
682,682,08-06-2022,IPS/MASTER FUEL/548069821574/000000000980/North Andrew,inft,reversal credit,other,-541.97,3730607.06,Fraud Identified
683,683,09-06-2022,VPS/Gray-Quinn/177682658137/Teresabury,atm,reversal credit,bounce,-3399.3,415513.18,Fraud Identified
684,684,09-06-2022,APBS/IOC Ref No4268424865/16008515326031,inft,other credit,bounce,-3517.28,2413113.09,
685,685,09-06-2022,NFS/AIND07/CASH WDL/10-09-96,atm,subsidy,loan,8374.47,3114018.61,
686,686,09-06-2022,ATM DEC CHG/21-05-94/GST,imps,expenses,recharge,2704.4,3911102.67,Verified
687,687,09-06-2022,VPS/Bryant LLC/761796809686/East Trevorside,imps,subsidy,other,-1163.35,3978237.89,Verified
688,688,09-06-2022,UPI/525232750439/NO REMARKS/richardwong@upi/Wilsonport,vps,subsidy,fuel,1831.84,4522138.16,Fraud Identified
689,689,10-06-2022,NFS/SMND07/CASH WDL/31-07-85,upi,reversal credit,recharge,8882.8,358476.36,
690,690,10-06-2022,APBS/IOC Ref No7406360994/99020049399100,upi,subsidy,recharge,-3138.44,2745220.2,Fraud Identified
691,691,10-06-2022,non scb atm usage charges mar 21,atm,charges,low usage,-20,562067.11,
692,692,10-06-2022,atm txn other bank charges,atm,charges,other bank transaction,-20,562047.11,
693,693,10-06-2022,atm wdl charges oth bank chgs balenq 125015004438becn1615,atm,charges,withdrawal,-24,562023.11,
694,694,10-06-2022,general charges recovery,other,charges,other,-177,561846.11,
695,695,10-06-2022,ecs mandate sc cnrb7022011210006178,ecs,charges,mandate,-21.31,561824.8,
696,696,10-06-2022,pos amc 2021 nt5664,pos,charges,maintenance,-22.5,561802.3,
697,697,11-06-2022,BIL/RCHG/9584361553/Vodafone -/318-931-0194,upi,subsidy,recharge,4298.3,4676101.41,Fraud Identified
698,698,13-06-2022,NFS/IXND07/CASH WDL/26-01-76,ecs,expenses,other,-704.17,94280.89,
699,699,13-06-2022,INF/INFT/170913141156/Boyd-Rodriguez /Cynthia,vps,withdrawal,loan,9175.63,1789342.2,
700,700,14-06-2022,NFS/YKND07/CASH WDL/22-04-76,inft,subsidy,other,-2338.11,363085.03,Fraud Identified
701,701,14-06-2022,APBS/IOC Ref No1702310928/81628233393172,ecs,subsidy,bounce,5291.41,1113277.65,
702,702,14-06-2022,BIL/RCHG/6169808645/Vodafone -/+1-270-208-0346x591,upi,reversal credit,recharge,-3913.44,3583585.31,Verified
703,703,14-06-2022,UPI/793929624991/NO REMARKS/lewishaley@upi/Port Rachel,ecs,withdrawal,fuel,-1528.99,4520603.08,Verified
704,704,15-06-2022,rem chrgs:amb non maintenance chrg for apr-2021 (value date:17/10/2021),other,charges,mab,-501.64,561300.66,
705,705,15-06-2022,low usage charges-jul21-28187044-nt5664,other,charges,low usage,-588.82,560711.84,
706,706,15-06-2022,locker rent gst- eal25/,other,charges,locker,-288,560423.84,
707,707,15-06-2022,processing fee_sr209079961,other,charges,loan processing,-9400,551023.84,
708,708,15-06-2022,lien marked charges recovered,other,charges,lien,-118,550905.84,
709,709,16-06-2022,ATM DEC CHG/18-07-88/GST,imps,withdrawal,other,-2117.62,805146.19,Verified
710,710,16-06-2022,IPS/MASTER FUEL/427037255302/000000000980/Markshire,vps,other credit,loan,1813.65,3920329.6,
711,711,18-06-2022,UPI/371089315691/NO REMARKS/linda15@upi/Andrewbury,atm,subsidy,fuel,1554.85,591765.05,Fraud Identified
712,712,18-06-2022,ATM DEC CHG/14-06-05/GST,inft,withdrawal,recharge,-1221.88,2914422.51,Verified
713,713,18-06-2022,VPS/Hernandez Ltd/377940669686/West Sharon,atm,withdrawal,loan,1094.19,4554856.56,
714,714,19-06-2022,UPI/10777772894/NO REMARKS/lmendez@upi/Amandashire,imps,subsidy,recharge,804.86,355175.6,Verified
715,715,19-06-2022,VPS/Kennedy LLC/282415100546/Kirstenbury,atm,other credit,fuel,9261.2,4217963.15,Fraud Identified
716,716,19-06-2022,ledger folio charge ca,other,charges,ledger folio,-944,549961.84,
717,717,19-06-2022,gst for atm card issuance chg,card,charges,issuance,-118,549843.84,
718,718,19-06-2022,.dc intl pos txn markup+st 050621 080621-mir2116315896528 (ifsc mir2116315896528),pos,charges,international txn,-10.44,549833.4,
719,719,19-06-2022,incidental charges,other,charges,incidental,-685.47,549147.93,
720,720,19-06-2022,hab chgs inc gst apr-sep2021-mir2232342736519 (ref# mir2232342736519),other,charges,hab,-41.49,549106.44,
721,721,19-06-2022,fuel surchg 541919******7231 dt 27/09/21,other,charges,fuel surcharge,-0.47,549105.97,
722,722,19-06-2022,ib fd premat int recovery-50300507531352,inb,charges,fd premature,-5707,543398.97,
723,723,20-06-2022,NFS/ACND07/CASH WDL/30-07-97,atm,expenses,bounce,7744.77,156850.37,Fraud Identified
724,724,20-06-2022,BIL/RCHG/9428260761/Vodafone -/001-433-899-3092,vps,other credit,bounce,7223.41,325172.07,
725,725,20-06-2022,NFS/HMND07/CASH WDL/06-12-78,upi,withdrawal,other,9690.21,4655067.8,
726,726,22-06-2022,APBS/IOC Ref No735148393/61156406711115,upi,expenses,other,3266.04,391139.63,Verified
727,727,22-06-2022,atm enq charges,atm,charges,enquiry,-12,543386.97,
728,728,22-06-2022,duplicate passbook/state--38976288 (ref# 38976288),other,charges,duplicate passbook entry,-236,543150.97,
729,729,22-06-2022,chrg/dup card/5003,other,charges,duplicate card entry,-221,542929.97,
730,730,22-06-2022,eba/nsdl cdsl chg_170921/20210918140056,eba,charges,demat,-47.2,542882.77,
731,731,22-06-2022,rem chrgs:pos decl fee/xx1485/124907827588/060921,pos,charges,decline,-29.5,542853.27,
732,732,22-06-2022,consolidated charges for a/c,other,charges,consolidated,-6.24,542847.03,
733,733,22-06-2022,to transfer inb commission of igakpsoja1 igakpsoja1icw8038196 transfer to 459,inb,other debit,other,-5.9,542841.13,
734,734,23-06-2022,"VPS/Scott, Morgan and Martin/112330259541/Port Kevin",ecs,reversal credit,loan,-4335.46,460610.53,Fraud Identified
735,735,23-06-2022,BIL/RCHG/2155842351/Vodafone -/4352675833,atm,reversal credit,other,-1497.23,796443.22,Verified
736,736,23-06-2022,INF/INFT/503629256320/Soto Ltd /Timothy,upi,expenses,bounce,-4316.21,3535279.44,
737,737,23-06-2022,"INF/INFT/602545034620/Perkins, Morse and Cook /Todd",atm,other credit,bounce,-2548.75,3629840.54,
738,738,23-06-2022,IPS/MASTER FUEL/873755524381/000000000980/Snyderview,imps,subsidy,recharge,579.15,3751240.69,Verified
739,739,23-06-2022,INF/INFT/457874642063/Lopez-Russell /Shane,inft,withdrawal,fuel,4787.15,3770799.73,Fraud Identified
740,740,23-06-2022,to cheque book issue charge,other,charges,cheque book,-206.5,542634.63,
741,741,23-06-2022,cash hand charge5 - 29-06-2021,other,charges,cash handling,-29.5,542605.13,
742,742,23-06-2022,chrg: cash deposit on 28-apr-2021 palsana,other,charges,cash deposite,-79.65,542525.48,
743,743,23-06-2022,debit mandate fail chrg txn dt.06102021-dmimv,mandate,charges,bounce,-295,542230.48,
744,744,23-06-2022,sgst on charge:amb non-maintenance/inv2905211914567581/30-apr-2021/,other,charges,mab,-36,542194.48,
745,745,24-06-2022,ATM DEC CHG/21-12-95/GST,inft,reversal credit,recharge,-1691.81,2381900,Verified
746,746,24-06-2022,INF/INFT/344450842185/Arnold-Grimes /David,upi,other credit,loan,2746.91,2390957.53,Fraud Identified
747,747,24-06-2022,NFS/XZND07/CASH WDL/23-09-95,atm,expenses,recharge,2022.63,4445063.26,Verified
748,748,24-06-2022,upi/paytm/117675742672/cashback receiv (ref# upi-117638596632),upi,cashback,other,1.5,542195.98,
749,749,24-06-2022,99212764terminal 1 cards settl. 21/07/21,terminal,card settlement,other,600,542795.98,
750,750,24-06-2022,chq dep ret- payment stopped by drawer,cheque,bounce outward,stop payment,-15000,527795.98,
751,751,24-06-2022,reject:73441:drawers signature differs,cheque,bounce outward,signature mismatch,-10000,517795.98,
752,752,25-06-2022,"INF/INFT/707243992781/Foster, Jones and Strong /Wayne",ecs,withdrawal,loan,5194.49,2460001.09,Verified
753,753,25-06-2022,NFS/SJND07/CASH WDL/03-05-06,vps,expenses,recharge,8006.94,4390762.36,Verified
754,754,25-06-2022,chq dep ret- funds insufficient,cheque,bounce outward,funds insufficient,-20400,497395.98,
755,755,25-06-2022,chq dep ret- funds insufficient,cheque,bounce outward,funds insufficient,-350000,147395.98,
756,756,25-06-2022,chq dep ret- funds insufficient,cheque,bounce outward,funds insufficient,-150000,-2604.02,
757,757,25-06-2022,returned:85223:payment st opped by drawer,cheque,bounce inward,stop payment,150000,147395.98,
758,758,26-06-2022,APBS/IOC Ref No1522787368/5559128038732,ecs,subsidy,other,-2163.26,536955.79,Fraud Identified
759,759,27-06-2022,IPS/MASTER FUEL/779033518918/000000000980/New Katherine,inft,subsidy,fuel,-722.04,2517794.22,Fraud Identified
760,760,27-06-2022,i/w chq rtn:76:drawers signature differ,cheque,bounce inward,signature mismatch,22000,169395.98,
761,761,27-06-2022,rej pmt 0019397317 dt 12.01.21,other,validation credit,other,1,169396.98,
762,762,27-06-2022,i/w chq ret-alteration require drawer au,cheque,bounce inward,overwriting,50000,219396.98,
763,763,27-06-2022,cc 00000361150xxxx7381 autopay si-tad (ref# 377212458),standing instruction,bounce inward,other,873,220269.98,
764,764,27-06-2022,chq dep ret- funds insufficient,cheque,bounce outward,funds insufficient,-300000,-79730.02,
765,765,27-06-2022,cc 000553583xxxxxx2991 autopay si-tad (ref# 364301659),standing instruction,bounce inward,funds insufficient,300000,220269.98,
766,766,28-06-2022,VPS/Cabrera-Johnson/950501498369/New Clifford,inft,other credit,other,4224.25,2331808.65,Fraud Identified
767,767,28-06-2022,ATM DEC CHG/19-03-84/GST,imps,withdrawal,recharge,-4626.14,4494327.79,
768,768,28-06-2022,UPI/334719016444/NO REMARKS/jeffrey23@upi/North Kimberly,ecs,withdrawal,recharge,1047.96,4571659.52,Fraud Identified
769,769,28-06-2022,imps rej : 034511929708,imps,bounce inward,failed,11600,231869.98,
770,770,28-06-2022,chq dep ret- funds insufficient,cheque,bounce outward,funds insufficient,-300000,-68130.02,Rotation of Money
771,771,28-06-2022,i/w chq return-micr cts-noida wbo,cheque,bounce inward,funds insufficient,300000,231869.98,
772,772,28-06-2022,neft return-account closed-debleenaidfc-retnh21183380967 (ref# n183211551469153),neft,bounce inward,account closed,2000,233869.98,
773,773,29-06-2022,NFS/FPND07/CASH WDL/10-06-97,imps,subsidy,fuel,2597.8,652297.73,Fraud Identified
774,774,29-06-2022,ATM DEC CHG/05-01-85/GST,ecs,withdrawal,fuel,-1328.34,3462934.66,Verified
775,775,29-06-2022,BIL/RCHG/001788909389/Airtel DTH/3018748260,bill online,expenses,recharge,-345,233524.98,
776,776,29-06-2022,BIL/RCHG/001789051693/Airtel -D/9821315054,bill online,expenses,recharge,-399,233125.98,
777,777,30-06-2022,BIL/RCHG/2784720710/Vodafone -/278-972-4184,upi,other credit,recharge,-4887.68,1023512.18,Fraud Identified
778,778,30-06-2022,APBS/IOC Ref No6671536901/28137561980370,imps,subsidy,bounce,-3578.53,1427121.69,
779,779,30-06-2022,VPS/Marshall and Sons/104558961509/Silvamouth,atm,subsidy,recharge,9686.89,2658477.55,
780,780,30-06-2022,IPS/NAVYUG FUEL/202109031424/000000000960/G URGAON,ips,expenses,fuel,-307.68,232818.98,Account not Tally
781,781,01-07-2022,UPI/308617951526/NO REMARKS/kclark@upi/South Christinafort,atm,expenses,other,-3736.59,3716172.36,Verified
782,782,01-07-2022,INF/INFT/740222984720/Soto-Carlson /Wanda,imps,expenses,recharge,3470.81,3923202.04,Fraud Identified
783,783,01-07-2022,VISA REF BP 38,visa,reversal credit,other,2.33,232816.65,Account not Tally
784,784,01-07-2022,NFS/01565122/CASH WDL/04-09-19,atm,withdrawal,other,-1000,231816.65,Discontinuity in credits/ receivables
785,785,02-07-2022,VPS/Gill-Hobbs/862699259680/North Peter,upi,other credit,loan,9081.75,3010094.41,Verified
786,786,02-07-2022,"VPS/Henry, Clark and Burnett/461430981024/New Josetown",inft,expenses,recharge,-4479.06,3587041.84,Verified
787,787,03-07-2022,ATM DEC CHG/02-09-76/GST,vps,reversal credit,loan,5113.86,483898.63,
788,788,03-07-2022,ATM DEC CHG/27-04-97/GST,imps,expenses,loan,8824.16,792019.67,
789,789,03-07-2022,IPS/MASTER FUEL/314400941637/000000000980/West Erikshire,imps,expenses,recharge,9550,1386291.22,Fraud Identified
790,790,03-07-2022,BIL/RCHG/1067326884/Vodafone -/(616)703-8127x39221,ecs,subsidy,recharge,673.9,2908696.9,Fraud Identified
791,791,03-07-2022,UPI/428528771433/NO REMARKS/denise32@upi/Lindseyland,imps,expenses,recharge,-3292.76,3375329.38,Verified
